url,title,price,condition,brand,store_address
https://jiji.co.ke/nairobi-central/computer-monitors/hp-series-5-27-inch-fhd-monitor-527sf-27inch-biyo9PnYzjg1NepHkO4PQLav.html?page=3&pos=13&cur_pos=13&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=12,"HP Series 5 27 Inch FHD Monitor - 527sf, 27inch","KSh 24,490",Brand New,HP,"Located Kimathi Street, Pioneer Building 4th Flr, Room 4.Next to Nation Centre Opposite Stanbic Bank"
https://jiji.co.ke/nairobi-central/computer-monitors/hp-24f-23-8-ultra-slim-diagonal-ips-led-monitor-CsHSimmtXOFbC6stYvcsDldh.html?page=3&pos=16&cur_pos=16&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=15,HP 24F 23.8” Ultra Slim Diagonal Ips LED Monitor,"KSh 28,000",Brand New,HP,"Eagle House, 6th Floor Room-F6-3B, Kimathi Street, Nairobi , Kenya"
https://jiji.co.ke/nairobi-central/computer-monitors/touch-screen-hdmi-15-inch-pos-tft-lcd-touchscreen-pos-monitor-mkbpgaA3cOeabctcIpLLXbta.html?page=3&pos=19&cur_pos=19&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=18,Touch Screen Hdmi 15-Inch Pos TFT LCD Touchscreen Pos Monitor,"KSh 14,499",Brand New,Other,MFANGANO STREETRWARE BUSINESS CENTRE 4TH FLOOR 404
https://jiji.co.ke/nairobi-central/computer-monitors/15-touchscreen-monitor-with-stand-1024-x-768-black-bddDds4fdc647m42xFH5M2iQ.html?page=3&pos=22&cur_pos=22&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=21,"15"" Touchscreen Monitor With Stand, 1024 X 768, Black","KSh 14,499",Brand New,Other,MFANGANO STREETRWARE BUSINESS CENTRE 4TH FLOOR 404
https://jiji.co.ke/nairobi-central/computer-monitors/dell-22-inches-monitor-available-kUdO9sf16rknL2qds94RpdVz.html?page=3&pos=2&cur_pos=2&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=1,Dell 22 Inches Monitor Available,"KSh 4,000",Refurbished,Dell,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/19-inches-dell-tft-monitors-6nRzlrWJUSmYgySvvXB0FYGT.html?page=3&pos=5&cur_pos=5&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=4,19 Inches Dell TFT Monitors,"KSh 3,800",Refurbished,Dell,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/new-touch-monitor-15-inch-touch-pos-monitor-for-restaurant-eO8gPN80FEILv9dJR9N7752V.html?page=3&pos=8&cur_pos=8&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=7,"New Touch Monitor 15 Inch,Touch Pos Monitor for Restaurant","KSh 14,000",Brand New,Other,We are located at Tsavo road and accra road junction (Tearoom)benjoe house 2rd floor shop no b17
https://jiji.co.ke/westlands/computer-monitors/dell-u4919dw-ultrasharp-49-qhd-5120x1440-32-9-curved-monitor-nhnXvDZHQ3fidBVz6dSMogEj.html?page=3&pos=11&cur_pos=11&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=10,"Dell U4919dw Ultrasharp 49"" QHD 5120x1440 32:9 Curved Monitor","KSh 249,000",Brand New,Dell,Westlands
https://jiji.co.ke/nairobi-central/computer-monitors/dell-22inches-wide-monitor-mTvJLGeMsCQrTjpgjFPjTh6x.html?page=3&pos=14&cur_pos=14&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=13,Dell 22inches Wide Monitor,"KSh 6,500",Refurbished,Dell,We are located along Moi Avenue Rahimtulla building (Queens mall ) Ground floor shop no.G7
https://jiji.co.ke/nairobi-central/computer-monitors/lenovo-l27h-4a-27-inch-ips-qhd-100hz-speakers-usb-c-monitor-kThFEuQ9gw73Q5Ew0XhnJrGR.html?page=3&pos=17&cur_pos=17&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=16,Lenovo L27h-4a 27-Inch Ips QHD 100hz Speakers Usb-C Monitor,"KSh 33,999",Brand New,Lenovo,"Located Kimathi Street, Pioneer Building 4th Flr, Room 4.Next to Nation Centre Opposite Stanbic Bank"
